,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
title,探索傳說中的千年寶藏,探尋者,拉瑪真相,抽屜裡的青春,抉擇,手機,所羅門的指環,戰神的後裔,戰爭遊戲外傳 安德闇影,戰爭遊戲,我是傳奇,我們都是時間旅人,我們,我，機器人,惡魔事典,惑星奇航1,恐懼之邦,怒月,心機掃描,微紀元,從科學到想像,很餓 張草極短篇,很痛 張草極短篇2,彩圖科幻百科,彗星撞擊地球之後,廢棄公主 13,庖人誌,幽靈艦隊,幻行者,幻獸事典,平行戀人,帶往火星的貓,帶上她的眼睛,希特勒回來了！,布克的奇遇,山椒魚戰爭,寂寞的七號星球,宇宙連環圖,宇宙盡頭的餐廳,宇宙浪子8,宇宙浪子12,宇宙浪子11,宇宙浪子10,宇宙浪子1,宇宙大人,如何建造時光機,奔月追緝令,奈米獵殺,奇幻大事典,失落的符號
creator,"Hopkins, Budd.,",麥戴偉特 作,"Clarke, Arthur C.",error,"釋日常, 文字作者,演講者",劉震雲,error,error,卡德 著,卡德 著,"Lawrence, Francis",葛雷易克,"Zam︠i︡atin, Evgeniĭ Ivanovich,",error,error,error,error,海萊恩 著,狄克,劉慈欣 著,error,張草 著,error,"Clute, John",error,error,"張草, 作",error,裴斯特 著.,  ,  ,黃炳煌,劉慈欣 著,error,  ,卡沛克,布萊伯雷,  ,亞當斯 著,朱邦復 著,朱邦復 著,朱邦復 著,朱邦復 著,朱邦復 著,張嘉驊,戴維斯 著,希坎姆荷馬 著,  ,error,勃朗
publisher,可道書房,時報文化總經銷,小知堂,error,圆音有声出版股份有限公司,九歌出版,error,error,大和圖書總經銷,天下雜誌,得利影視,時報文化,好讀,error,error,error,error,貓頭鷹出版 家庭傳媒城邦分公司發行,墨文堂文化出版 文域文化總經銷,萬卷出版公司,error,皇冠,error,上海科技教育,error,error,皇冠,error,勤力國際公司經銷,奇幻基地,春光,皇冠,長江文藝出版社,error,中國少年兒童出版社,岩波,遊目族出版 城邦發行,時報文化,時報,聯經,聯經,聯經,聯經,聯經,幼獅,大和書報總經銷,黎銘總經銷,遠流,error,臺北市立圖書館
year, 2012, 2009.01, 2006.01.,error, 2020.04, 2004,error,error, 2015, 2013, 2008, 2018.09, 2023,error,error,error,error, 2009.10, 2005, 2022,error, 2004,error, 2003,error,error, 2010.08,error, 2006, 2022.08, 2024.02, 1994, 2017,error, 1962, 1978, 2000, 2024.01, 2008, 民91, 民91, 民91, 民91, 民91, 2000, 2004, 2000, 2003,error, 2015.
