,isbn,name,author,publisher,date
0,9789574505111,拉瑪迷境,"亞瑟.克拉克(Arthur C. Clarke), 簡崔.李(Gentry Lee)著; 王幼慈譯",小知堂,95/10
1,9789574504503,拉瑪任務,亞瑟.克拉克(Arthur C. Clarke)著; 胡瑛譯,小知堂,95/01
2,9789574504510,拉瑪再現,"亞瑟.克拉克(Arthur C. Clarke), 簡崔.李(Gentry Lee)著; 何敏綺譯",小知堂,95/05
3,9789576217319,童年末日,"克拉克(Arthur C. Clarke)著; 鍾慧元,葉李華譯",天下遠見,89/09
4,9789573258933,二〇〇一太空漫遊,亞瑟.克拉克(Arthur C. Clarke)著; 郝明義譯,遠流,95/10
5,9789573258964,三〇〇一太空漫遊,"亞瑟.克拉克(Arthur C. Clarke)著; 鍾慧元, 葉李華譯",遠流,95/10
6,9789573258957,二〇六一太空漫遊,亞瑟.克拉克(Arthur C. Clarke)著; 張啟陽譯,遠流,95/10
7,9789573258940,二〇一〇太空漫遊,亞瑟.克拉克(Arthur C. Clarke)著; 張啟陽譯,遠流,95/10
8,9789867576460,基地,以撒.艾西莫夫(Issac Asimov)作; 葉李華譯,奇幻基地,93/12
9,9789867576637,基地與帝國,以撒.艾西莫夫(Isaac Asimov)著; 葉李華譯,奇幻基地,94/03
10,9789867576798,第二基地,以撒.艾西莫夫(Isaac Asimov)作; 葉李華譯,奇幻基地,94/06
11,9789867131102,基地締造者,以撒.艾西莫夫(Isaac Asimov)作; 葉李華譯,奇幻基地,95/01
12,9789867576958,基地前奏,以撒.艾西莫夫(Isaac Asimov)作; 葉李華譯,奇幻基地,94/09
13,9789867427700,新世紀EVANGELION福音戰士,Gainax原作; 貞本義行漫畫; 艾澀譯,臺灣國際角川,93/12
14,9789867427717,新世紀EVANGELION福音戰士,Gainax原作; 貞本義行漫畫; 艾澀譯,臺灣國際角川,93/12
15,9789867427908,新世紀EVANGELION福音戰士,Gainax原作; 貞本義行漫畫; 艾澀譯,臺灣國際角川,94/02
16,9789867427915,新世紀EVANGELION福音戰士,Gainax原作; 貞本義行漫畫; 艾澀譯,臺灣國際角川,94/02
17,9789867427922,新世紀EVANGELION福音戰士,Gainax原作; 貞本義行漫畫; 艾澀譯,臺灣國際角川,94/02
18,9789867427939,新世紀EVANGELION福音戰士,Gainax原作; 貞本義行漫畫; 艾澀譯,臺灣國際角川,94/02
19,9789573022596,新世紀EVANGELION福音戰士,Gainax原作; 貞本義行漫畫; 章澤儀譯,臺灣國際角川,90/12
20,9789861741321,新世紀EVANGELION福音戰士,Gainax原作; 貞本義行漫畫; 章澤儀譯,臺灣國際角川,95/08
21,9789861745275,新世紀EVANGELION福音戰士,Gainax.Khara原作; 貞本義行漫畫; 章澤儀譯,臺灣國際角川,96/11
22,9789862378458,新世紀EVANGELION福音戰士,Khara.Gainax原作; 貞本義行漫畫; 章澤儀譯,臺灣國際角川,99/09
23,9789863250142,新世紀EVANGELION福音戰士,Khara.Gainax原作; 貞本義行漫畫; 小凡譯,臺灣國際角川,101/11
24,9789863662549,新世紀EVANGELION福音戰士,Khara.Gainax原作; 貞本義行漫畫; 章澤儀譯,臺灣角川,103/11
25,9789863661436,涼宮春日的憂鬱,谷川流原作; ジガノガク漫畫; 黃任遠譯,臺灣角川,103/09
26,9789863257721,涼宮春日的憂鬱,谷川流原作; ジガノガク漫畫; 黃任遠譯,臺灣角川,103/01
27,9789863256038,涼宮春日的憂鬱,谷川流原作; ジガノガク漫畫; 黃任遠譯,臺灣國際角川,102/09
28,9789863253914,涼宮春日的憂鬱,谷川流原作; ジガノガク漫畫; 黃任遠譯,臺灣國際角川,102/05
29,9789862879511,涼宮春日的憂鬱(漫畫版),谷川流原作; ジガノガク漫畫; 黃任遠譯,臺灣國際角川,101/09
30,9789862877692,涼宮春日的憂鬱,谷川流原作; ジガノガク漫畫; 黃任遠譯,臺灣國際角川,101/06
31,9789862874189,涼宮春日的憂鬱(漫畫版),谷川流原作; ジガノガク漫畫; 黃任遠譯,臺灣國際角川,100/10
32,9789862873083,涼宮春日的憂鬱,ジガノガク漫畫; 谷川流原作; 黃任遠譯,臺灣國際角川,100/08
33,9789862870891,涼宮春日的憂鬱,ジガノガク漫畫; 谷川流原作; 黃任遠譯,臺灣國際角川,100/04
34,9789862378472,涼宮春日的憂鬱(漫畫版),谷川流作; 黃任遠譯,臺灣國際角川,99/09
35,9789862376256,涼宮春日的憂鬱(漫畫版),谷川流作; 黃任遠譯,臺灣國際角川,99/04
36,9789862375266,涼宮春日的憂鬱(漫畫版),谷川流作; 黃任遠譯,臺灣國際角川,99/02
37,9789862373699,涼宮春日的憂鬱(漫畫版),谷川流作; 黃任遠譯,臺灣國際角川,98/11
38,9789862371411,涼宮春日的憂鬱(漫畫版),谷川流作; 黃任遠譯,臺灣國際角川,98/06
39,9789861749839,涼宮春日的憂鬱(漫畫版),谷川流作; 黃任遠譯,臺灣國際角川,98/01
40,9789861747392,涼宮春日的憂鬱(漫畫版),谷川流作; 黃任遠譯,臺灣國際角川,97/07
41,9789861745695,涼宮春日的憂鬱(漫畫版),谷川流作; 黃任遠譯,臺灣國際角川,97/01
42,9789861745329,涼宮春日的憂鬱(漫畫版),谷川流作; 黃任遠譯,臺灣國際角川,96/11
43,9789861744827,涼宮春日的憂鬱(漫畫版),谷川流作; 黃任遠譯,臺灣國際角川,96/09
44,9789861744360,涼宮春日的憂鬱(漫畫版),谷川流作; 黃任道譯,臺灣國際角川,96/08
45,4710601042670,error,error,error,error
46,9789578661066,迷你裙宇宙海賊,笹本祐一作; 李文軒譯,四季國際,107/06
47,9789578661097,迷你裙宇宙海賊,笹本祐一作; 李文軒譯,四季國際,107/06
48,9786267061183,隱娘= The hidden girl and other stories,劉宇昆著; 歸也光譯,新經典圖文傳播,111/04
49,9789869641425,摺紙動物園,劉宇昆(Ken Liu)著; 張玄竺譯,新經典圖文傳播,107/05
50,9789866628023,蘋果核戰,士郎正宗作; 阿亮譯,原動力亞細亞,98/08
51,9789867184528,蘋果核戰,士郎正宗作; 阿亮譯,原動力亞細亞,96/08
52,9789867184511,蘋果核戰,士郎正宗作; 阿亮譯,原動力亞細亞,96/08
53,9789867131065,"廢棄公主. 1, 棄貓公主的前奏曲",榊一郎作; 安曇雪伸繪; 常純敏譯,奇幻基地,95/01
54,9789867131904,"廢棄公主. 13, 響徹天際的清唱劇",榊一郎作; 常純敏譯,奇幻基地,96/07
55,9789867131270,"廢棄公主. 3, 獻給異教徒的安魂曲",榊一郎作; 安曇雪伸繪; 常純敏譯,奇幻基地,95/05
56,9789572602591,銃夢,木城幸人漫畫; 蔡夢芳譯,東立,108/05
57,9789572602645,銃夢,木城幸人漫畫; 蔡夢芳譯,東立,108/05
58,9789572602638,銃夢,木城幸人漫畫; 蔡夢芳譯,東立,108/05
59,9789572602621,銃夢,木城幸人漫畫; 蔡夢芳譯,東立,108/05
60,9789572602614,銃夢,木城幸人漫畫; 蔡夢芳譯,東立,108/05
61,9789572602607,銃夢,木城幸人漫畫; 蔡夢芳譯,東立,108/05
62,9789574731770,惑星奇航,幸村誠作; 張哲瑜譯,臺灣東販,90/06
63,9789574732470,惑星奇航,幸村誠作; 張哲瑜譯,臺灣東販,91/01
64,9789574734610,惑星奇航,幸村誠作; 張哲瑜譯,臺灣東販,92/04
65,9789574736461,惑星奇航,幸村誠作; 張哲瑜譯,臺灣東販,93/04
66,9789577258144,黃金之翼,田中芳樹原著; 劉秀譯,大然,82/08
67,9789572520666,銀河英雄傳說,田中芳樹作; 鄭明德譯,大然,85/02
68,9789572520659,銀河英雄傳說,田中芳樹作; 鄭明德譯,大然,85/02
69,9789572520642,銀河英雄傳說,田中芳樹作; 鄭明德譯,大然,85/02
70,9789572520635,銀河英雄傳說,田中芳樹作; 鄭明德譯,大然,85/02
71,9789572520628,銀河英雄傳說,田中芳樹作; 鄭明德譯,大然,85/02
72,9789572514191,銀河英雄傳說,田中芳樹作; 葉昭華譯,大然,83/12
73,9789572510629,銀河英雄傳說,田中芳樹作; 葉昭華譯,大然,83/08
74,9789577258137,銀河英雄傳說,道原かつみ著; 劉秀譯,大然,82/08
75,9789577258120,銀河英雄傳說,道原かつみ著; 劉秀譯,大然,82/08
76,9789577258113,銀河英雄傳說,道原かつみ著; 劉秀譯,大然,82/08
77,9789577258106,銀河英雄傳說,道原かつみ著; 劉秀譯,大然,82/08
78,4710765210809,error,error,error,error
79,9780785156598,error,error,error,error
80,9781595822642,error,error,error,error
81,9789862620694,球狀閃電,劉慈欣著,貓頭鷹,101/02
82,9789861206066,三體,劉慈欣著,貓頭鷹,100/03
83,9787542729040,error,error,error,error
84,9787544140447,error,error,error,error
85,9789578557598,秦始皇到臺灣神祕事件,黃海著,天衛文化,83/03
86,9789574443482,黃海童話,黃海著; 貝果插圖,九歌,95/10
87,9789570800579,嫦娥城,"黃海著, 張麗雯圖",聯經,78/08
88,9789573311447,帶往火星的貓,黃海著,皇冠,83/11
89,9789579318594,航向未來,黃海著,富春文化,82/02
90,9789575607098,時間魔術師,黃海著 ; 小青繪圖,九歌,89/09
91,9789577514561,千年烽火奇幻遊,黃海著,國語日報,93/06
92,9789579525213,星雲組曲,張系國著,洪範,78/11
93,9789579525435,棋王,張系國著,洪範,79/02
94,9789579016032,一羽毛,張系國,知識系統,80/05
95,9789579016001,龍城飛將,張系國著,知識系統,78/11
96,9789579016094,金縷衣,張系國著,知識系統,83/11
97,9789576741951,玻璃世界: 廿一世紀傳奇,張系國著,洪範,88/04
98,9789578032620,恨情書,張草著,平裝本,88/10
99,9789578031586,燒不死的人,張草作,平裝本,87/01
