,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
title,失格的天神,太空漫遊四部曲,太和計畫,天神私房課,天啟II 始皇印記,天啟I 末世訊號,天使與魔鬼,天使帝國,大騙局,大腦的秘密檔案,大夏,夜曲,夜幕低垂,外星獵殺者,外國科幻論文精選,夏之門,墜入天堂,基地與帝國,基地締造者,基地前奏,基地,城堡事典,地海故事集,地海彼岸,地海巫師,地海奇風,地海古墓,地心遊記,圖案人,圖書館戰爭,四十超人學院4時光老人,四十超人學院1超人戰史,和諧,和平的夢,台灣文學史長篇-科幻,厭世機器人二,厭世機器人一、系統異常自救指南,厭世機器人3,危基當前,十月國度,北京戰爭5,北京戰爭1,化身博士,動物農莊,勇闖宇宙首部曲,劇場事,凡爾納 追求進步的夢想家,冰戀,冰凍地球首部曲寒冬世界,冰下的夢
creator,韋伯,克拉喀 著,艾伯特 著,韋伯 著,error,error,蔣豐,韋伯,布朗 著,error,  ,康納利,  ,麥成輝,error,海連,error,  ,  ,  ,  ,池上正太,勒瑰恩,勒瑰恩,勒瑰恩,勒瑰恩,勒瑰恩,凡爾納,布萊伯利雷 著,有川浩 作,error,error,伊藤計劃 著#,顧均正 著,error,error,error,error,error,布萊伯雷 著,error,error,史蒂文生,歐威爾,error,  ,德奇斯 著,王信,error,error
publisher,皇冠,遠流,奇幻基地,皇冠文化,error,error,中和出版,凌域國際經銷,時報文化,error,中國大陸 大夏雜誌社,麥田出版 家庭傳媒城邦分公司發行,春暉影業發行 東隆影視總代理,皇冠,error,獨步文化,error,奇幻基地,奇幻基地,奇幻基地,奇幻基地,奇幻基地出版,繆思出版 遠足文化發行,繆思出版 遠足文化發行,繆思出版 遠足文化發行,繆思出版 遠足文化發行,繆思出版 遠足文化發行,上海文艺,皇冠,臺灣國際角川,error,error,木馬文化事業股份有限公司出版 遠足文化事業股份有限公司發行,文化生活出版社,error,error,error,error,error,皇冠,error,error,寂天,商周,error,台南人劇團,時報文化,爾雅,error,error
year, 2011, 2006, 民103, 2010,error,error, 2017, 2004, 2007,error,"中國大陸
大夏雜誌社", 2011, 1995, 民85,error, 2019,error, 2021.09, 2021.09, 2021.09, 2021.09, 2012, 2013, 2013, 2013, 2013, 2013, 2012, 2006.12, 2008,error,error, 2024.01, 民35,error,error,error,error,error, 2007.04,error,error, 2023, 2023,error, 2005, 2005, 民85.,error,error
