,isbn,cover
0,9789866628023,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_CaCnCVHnDos7uFlv4tOD1UN7lVBjHKP5Lw&s
1,9789867184528,https://s.eslite.com/upload/product/o/2680271457000/ec163313.jpg
2,9789867184511,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/041/80/0010418017.jpg&v=48f40a1bk&w=375&h=375
3,9789867131065,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_9KpyLwSCL5skgk6tjGZwvKjCTKSwRXutjw&s
4,9789867131904,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJUhPGOMez7p8u998WUAUe3d4S35DIv1iOww&s
5,9789867131270,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRG-qfAxtOdTm1A2bLYuoHzlO41nUpn8zGF0Q&s
6,9789572602591,error
7,9789572602645,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3p-Wg7Gl-I1yWNyOeFJfW-Gur6an4tELV9A&s
8,9789572602638,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMhjK18P_lLFgBw-sFm7NzPtBTGFhwKS6f9g&s
9,9789572602621,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0M-WVNqoJcQSBrJJiHzn5fNWz9qJg3On3dw&s
10,9789572602614,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSetfX5bGKMUQzw-_ItFvDmgbBpRS78-eve6w&s
11,9789572602607,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYBHu6BbXO3YMQ_QcOWc4Jla0E_fYm4YitzA&s
12,9789574731770,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQluYrrK6iNFEWTkbbWhHJOGZRiU73Z8yr-cg&s
13,9789574732470,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhpAy10I2LMu2lPNga6UW_pm3iDRTU1Qwciw&s
14,9789574734610,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8JwKLMLkwl_7MeJcRZN5iNf08nfznJhUfRw&s
15,9789574736461,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRo_HwG1G712nSYNgHlOBY6o0YYrN0It2FzNQ&s
16,9789577258144,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvCbmQNvc8BMk5XYZ1F-KYE2fXS8Xi7tWpBA&s
17,9789572520666,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCf8tv9R2FQeShzikyJzG8dMdDPj2Zyq_gYg&s
18,9789572520659,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqFSCnKWH1__iV-mIjLNURRIP8MFMIDnxRpQ&s
19,9789572520642,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/091/01/0010910106.jpg&v=61a0b756k&w=375&h=375
20,9789572520635,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2WnS1-mzXx5Q0XYzaUskX3NkKeF3Vyq_nTg&s
21,9789572520628,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWsPyBKADd4ze1zOqzsjJtQo04rYb9KjPfXg&s
22,9789572514191,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/098/26/0010982653_bc_01.jpg&v=65cf4760k&w=375&h=375
23,9789572510629,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/097/73/0010977382.jpg&v=658421f5k&w=375&h=375
24,9789577258137,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYo2nxH8fD08WamU7J-vqjgidPNc01jFGlIg&s
25,9789577258120,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREvi-ZEqgO6RWcOICB7y1ZeDjugg-jrpN_5g&s
26,9789577258113,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZyTQpB2E7ZqnxKsBmKGoSSj72kA-NUE5ABg&s
27,9789577258106,https://s.eslite.com/upload/product/o/2682113808001/20211224034915121739.jpg
28,4710765210809,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkBq4Azau24bXD4GWx99HcgoiITbKblLw-vQ&s
