,isbn,cover
0,9789574505111,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5oLNsJRnNtrOtRCXrK1BfQXBNK1n_uEJsQw&s
1,9789574504503,error
2,9789574504510,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPzD2eff95WySqMd1fCDnHCYjPHlWCpC2Pzg&s
3,9789576217319,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmj8DIK3tyOfZP-x19VyNXAWPKhZoLUP96kA&s
4,9789573258933,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/034/53/0010345324.jpg&v=452508ebk&w=375&h=375
5,9789573258964,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIIBES2vTjj22_voopgGD4DlVW2_MDvzJ_EA&s
6,9789573258957,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2aFhaxLJaZoWY2QqUmEFYbIsmJa7HaTMhsA&s
7,9789573258940,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQMjBnMWXZ9d5mwlaZKLdrpO9qhqnKVSppYg&s
8,9789867576460,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLpMdU_PWWSEKQVYdoZc8fTEDUT9yykyG-7g&s
9,9789867576637,error
10,9789867576798,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVNKw2zOWVTdWAr33VUqrUR8cAnFctKrRpyg&s
11,9789867131102,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8eOxBqOI32ltEhgqLdG4-0MT7YPyPAgyf9g&s
12,9789867576958,error
13,9789867427700,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcStSimVIUwhOlBxqfGsE8qPCEIJhYG8QAUhhA&s
14,9789867427717,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSu8Jcndz-tp-390J075c5KB1HySGr6PwKaYg&s
15,9789867427908,https://cdnec.sanmin.com.tw/product_images/986/986742790.jpg
16,9789867427915,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKNj26t8-JY7NK9umpwYZ7fwF2Q_7pSn_6eg&s
17,9789867427922,https://s.eslite.com/upload/product/o/2611372738057/ec1706742.jpg
18,9789867427939,https://s.eslite.com/upload/product/o/2611372738064/ec1706744.jpg
19,9789573022596,https://s.eslite.com/upload/product/o/2611114481005/ec313933.jpg
20,9789861741321,error
21,9789861745275,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQga-BiX58KJyvRkOZmCdyjIu2O2thdXw41nQ&s
22,9789862378458,https://cdnec.sanmin.com.tw/product_images/986/986237845.jpg
23,9789863250142,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJWkfJx89wR5OFOVZni_-x8y-FjgvecKEHXw&s
24,9789863662549,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFHQIyZQhg6JfyeN2i_9w5F7G6gWlOdC4UZQ&s
25,9789863661436,https://s.eslite.com/upload/product/o/2680902422001/409252.jpg
26,9789863257721,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRo76-6nj_BAnKbPiyDDSZ4abf68GewQflfZA&s
27,9789863256038,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUNB-lHDgPjjBkCwxqWRxyW3G_1SMy0Qti6Q&s
28,9789863253914,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBLEsmq6K5Zr76wtdZlJLJaTRNXiCzgK6YBg&s
29,9789862879511,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/083/69/0010836961.jpg&v=5daa8e7dk&w=375&h=375
30,9789862877692,error
31,9789862874189,https://s.eslite.com/upload/product/o/2680614961003/122211.jpg
32,9789862873083,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYxs4aRBZvXCKJu2TMohspiv-rgMM1Fuubhg&s
33,9789862870891,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_7JShOA-voZdhqh5QFOPqIQ017Xd7XNY5ew&s
34,9789862378472,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSs_IYEv6KA9VopOe5SvQ1z2PpdJhqZAp50-g&s
35,9789862376256,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/096/83/0010968377.jpg&v=651f8e24k&w=375&h=375
36,9789862375266,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlSwjsmPkFvdZaTAXUw8hS_myUCiLlBIWUBQ&s
37,9789862373699,https://bci.kinokuniya.com/jsp/images/book-img/97898/97898623/9789862373699.JPG
38,9789862371411,https://cdnec.sanmin.com.tw/product_images/986/986237141.jpg
39,9789861749839,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqQFyzvy_5Qr3R2Vi8br_cEwcy-vHKGsZU6Q&s
40,9789861747392,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0BL0-B5Dlxnl2lcdAt__Fcl9_YrDOcIpB-w&s
41,9789861745695,https://s.eslite.com/Upload/Product/200801/o/633519128597919746.jpg
42,9789861745329,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRy00MYy5HRpraoRbg2dOcKGmJdqdxOqvppTA&s
43,9789861744827,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/091/35/0010913559_b_07.jpg&v=61cd8a35k&w=375&h=375
44,9789861744360,https://s.eslite.com/upload/product/o/2680277165008/ec210135.jpg
