,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
title,沙丘之子,沈船,池袋西口公園,水意識,正子人,橫濱車站 sf,機器人與帝國,機器人的進化,機動戰士Gundam U.C. 0079 02,機動戰士GUNDAM 0083 星塵作戰紀錄(3),極限  上中下,楚星箭戰紀8,楚星箭戰紀1,末世男女,月球城市,曼谷的發條女孩,曙光中的機器人,時震,時間閃電,時間迴旋,時間軸,時間線,時間箭,時間漩渦,時間漩渦,時間機器,時間機器,時空旅人之妻,時光閃電,時光旅人,星際爭霸戰的電影藝術,星際大戰5 未來之光  上下,星際大戰4 昔日幽魂,星際大戰3 最終指令,星際大戰2 黑潮洶湧,星際大戰1 帝國傳承,星艦求生日誌,星界的紋章II 小小的戰爭,星界的紋章2  ,星球大戰,星潮,星之聲,新世紀福音戰士,數位密碼,摺紙動物園,摩登時代,換身殺手,接觸未來,接觸未來,探索時間之謎 宇宙最奇妙的維度
creator,小野,  ,石田衣良 作,柏克奈 著,  ,  ,error,error,error,error,error,error,error,艾伍德 著,威爾,"巴奇加盧比, 著.",  ,馮內古特,error,威爾森,"Wilson, Robert Charles",  ,艾米斯 著,"Wilson, Robert Charles","Wilson, Robert Charles",error,威爾斯,  ,索摩薩 著,馬雷特 原著,"Vaz, Mark Cotta 著",error,error,error,error,error,  ,error,error,刘慈欣,error,  ,GAINAX,布朗 著,劉宇昆 著,  ,error,沙岡,沙岡,佛克 著
publisher,197707 文豪,旭儒,木馬文化出版 遠足文化發行,三采文化,20000900,臺北市,error,error,error,error,error,error,error,天培文化,三采文化,晨星,貓頭鷹出版 家庭傳媒城邦分公司發行,譯林出版社,error,貓頭鷹,貓頭鷹,20020400,聯經總經銷,貓頭鷹,貓頭鷹,error,好讀,商周,聯合發行股份有限公司經銷,遠見天下文化,稻田,error,error,error,error,error,高寶國際,error,error,北京理工大学出版社,error,臺灣角川,臺灣東販出版,時報文化,新經典圖文傳播有限公司,獨步文化,error,皇冠,皇冠,貓頭鷹
year,"197707
文豪", 2021.03, 2016, 2009.06,20000900," 臺灣角川
2019.05",error,error,error,error,error,error,error, 2015, 2018, 2011.07, 2009.07., 2000,error, 2007.08, 2019,20020400, 2007.08, 2019, 2019,error, 2024, 2022.05, 2016., 2021, 2012,error,error,error,error,error, 2021.09,error,error, 2020,error, 2017.11, 1996, 2005, 2018., 2022.07,error, 民86, 民86, 2013
