,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
title,科幻文學概論,科幻故事大世界 世界著名科幻故事集,科幻世界的哲學凝視,科學怪人 FRANKENSTEIN,科學怪人,科學怪人,秋葉原@DEEP,萬世姻緣,禁書啟示錄,神經喚術士,神糧,神秘島,祖國 真相大白,碎片之島,石油用完了怎麼辦？15堂你不知道的科學課,真相與預言,直覺,盲眼刺客,盜夢偵探,發條橘子,當代科幻小說選2,當代科幻小說選1,生命之歌,生命、宇宙及萬事萬物,球狀閃電,玻璃珠遊戲,獻給阿爾吉儂的花束,猿猴．賽柏格和女人,火星紀事,火星上的人類學家,潰雪,滾石家族遊太空,溫柔的謀殺,清晨的加斯巴,涼宮春日的觀測,涼宮春日的煩悶,涼宮春日的消失,涼宮春日的暴走,涼宮春日的憤慨,涼宮春日的憂鬱,涼宮春日的嘆息,涼宮春日的分裂,消逝邊境,海穹英雄傳,海柏利昂2,海柏利昂,海天龍戰,浩淼,沙丘魔堡 ,沙丘救世主
creator,呂應鐘 著,error,  ,雪萊 著,  ,  ,石田衣良 著,error,路平,吉布森 著,error,  ,哈里斯 著,費伊 著,error,error,戈德曼 著,"Atwood, Margaret,",筒井康隆,  ,error,error,"三浦綾子, 文字作者",亞當斯 著,莫言 作#,"Hesse, Hermann,",凱斯,error,"Bradbury, Ray,",薩克斯,史蒂文森 著,海萊恩,布萊伯雷,筒井康隆,error,谷川流,谷川流,谷川流,谷川流,  ,谷川流,谷川流,史奇頓,error,西蒙斯 作,西蒙斯,葉言都 著,葉李華 著,error,  
publisher,4A243面,error,弘雅三民圖書,時行臺語文會,台灣東方,台灣東方,木馬文化出版 遠足文化發行,error,麥田,獨步文化，城邦文化出版 家庭傳媒城邦分公司發行,error,好頭腦文教事業股份有限公司,如果出版社,圓神出版 叩應公司經銷,error,error,遠流,天培文化出版 九歌發行,獨步文化出版 家庭傳媒城邦分公司發行 大和書報總經銷,臉譜,error,error,大坤書局,時報文化,麥田出版,[出版者不詳],新星出版社,error,上海譯文,天下遠見,新經典圖文傳播出版 高寶總經銷,天下遠見出版 黎銘總經銷,皇冠,獨步文化,error,臺灣國際角川,臺灣角川,臺灣國際角川書店,臺灣國際角川書店,台灣國際角川,臺灣國際角川,臺灣國際角川,大和總經銷,error,大和書報總經銷,大家,知識系統,皇冠文化,error,大家
year, 23公分,error, 2021.05, 2007.08, 2021.08, 2021.08, 2007,error, 199705, 2019.11,error, 2024.01, 2008.05., 2010.10,error,error, 2007, 2023, 民99.03, 2023.12,error,error, 民67.06, 2008.11, 2021.02, 民國68, 2015,error, 2013., 2008.08, 2023, 2000, 2007.12, 2009.11,error, 2005, 2005, 2006, 2008, 2010-2014., 2005, 2007.08, 民93-94,error, 2008, 2017.03, 民76., 2009,error, 2021.09
