,isbn,cover
0,9789578031609,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOMrZH7nfRHCQyvaGsngM7XQKMdA6GvCyTDQ&s
1,9789578031814,https://s.eslite.com/upload/product/o/2611176518008/ec79357.jpg
2,9789578031944,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/097/38/0010973861.jpg&v=65534cb5k&w=375&h=375
3,9789578032095,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/006/92/0010069265.jpg&v=3c8fb78ck&w=375&h=375
4,9789578032644,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/097/73/0010977382.jpg&v=658421f5k&w=375&h=375
5,9789578032637,https://www.iread.com.tw/ProductFile/T0003400/B000097459/B000097459-B.jpg
6,9789573322245,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/096/36/0010963637.jpg&v=64b91abak&w=375&h=375
7,9789573322634,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYiLMLBuf-N07qPiaHiIDSkrkHNm88U6i2Hw&s
8,9789573322948,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQ_RTZYaihjfaXETycjFJHkCmE4QM_QpCHBQ&s
9,9789573323235,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRm8rBI7nIom12oW-dOx4ETRCLyw6znnt_74A&s
10,9789573323501,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRB1l-jtJi4KDyDp9jwPE-nsN8A2bNTWRFHUQ&s
11,9789573323938,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTwsk8q7iO5Wr--MKU4Wki0X698Hf8lZmzyg&s
12,9789573324249,https://www.iread.com.tw/ProductFile/T0000300/B000072486/B000072486-B.jpg
13,9789573324966,error
14,9789573325727,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNcbG74Tp3WqGzKMCRC4ZByx7aa_-aXMQoEQ&s
15,9789573326113,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/045/59/0010455911.jpg&v=4b20d2c7k&w=375&h=375
16,9789579016018,https://i2.momoshop.com.tw/1721724025/goodsimg/0013/077/791/13077791_O_m.webp
17,9789573315452,https://s.eslite.com/upload/product/o/2611171770005/ec79865.jpg
18,9789867415868,https://cdnec.sanmin.com.tw/product_images/986/986741586.jpg
