,isbn,name,author,publisher,date
0,9789573322870,圖案人,雷.布萊伯利(Ray Bradbury)著; 王瑞徽譯,皇冠,95/12
1,9789573323198,十月國度,雷.布萊伯利(Ray Bradbury)著; 林靜華譯,皇冠,96/04
2,9789573323488,闇夜嘉年華,雷.布萊伯利著; 王瑞徽譯,皇冠,96/09
3,9789573323709,溫柔的謀殺,雷.布萊伯利(Ray Bradbury)著; 王瑞徽譯,皇冠,96/12
4,9789867399199,時間的皺紋,麥德琳.蘭歌(Madeleine L'Engle)著; 黃聿君譯,繆思,94/04
5,9789861244488,神秘島,"儒勒.凡爾納(Jules Verne)著; 鄧月明, 郭麗娜譯",商周,94/09
6,9789570494020,隱身新娘,"儒勒・凡爾納(Jules Verne)原著; 夏蓮,冬苗翻譯",宏文館圖書,89/03
7,9789861333410,碎片之島,華倫.費伊(Warren Fahy)著; 王聰霖譯,圓神,99/10
8,9789573322290,華氏451度,雷.布萊伯利(Ray Bradbury)著; 于而彥譯,皇冠,95/04
9,9789576217470,奔月追緝令,希坎姆(Homer H. Hickam Jr.)著; 吳鴻譯,天下遠見,89/09
10,9789863429647,月球城市,安迪.威爾(Andy Weir)著; 翁雅如譯,三采文化,107/03
11,9789867261014,戰爭遊戲,Orson Scott Card著; 許文達譯,詠星藝能,94/05
12,9789866899881,我是傳奇,理察.麥特森(Richard Matheson)著; 陳宗琛譯,春天出版國際,96/12
13,9789575450205,美麗新世界,赫胥黎著,志文,79/05
14,9789574806638,神祕島,儒勒.凡爾納原著; 楊麗編譯,大步文化,91/03
15,9789862131893,時空旅行社,菲利士.帕爾馬(Felix J. Palma)著; 葉淑吟譯,大塊文化,99/07
16,9789866535093,探尋者,"傑克.麥戴維(Jack McDevitt)作; 廖愛苓, 歸也光譯",泰電電業,98/01
17,9789866503016,隧道Tunnels,"羅德里克.戈登, 布萊恩.威廉斯著; 肖毛譯",核心文化,98/01
18,9789571344157,凡爾納: 追求進步的夢想家,Jean-Paul Dekiss原著; 馬向陽譯,時報文化,94/12
19,9789869452427,銀翼殺手,菲利普.狄克(Philip K. Dick)著; 祈怡瑋譯,寂寞,106/09
20,9789861737584,一級玩家,恩斯特.克萊恩(Ernest Cline)著; 郭寶蓮譯,麥田,101/05
21,9789867124111,莫羅博士島,赫伯特.喬治.威爾斯(Herbert George Wells)作; 劉沁穎譯,智多星,95/09
22,9789869931076,"冰凍地球. 首部曲, 寒冬世界= Winter world",傑瑞.李鐸(A.G. Riddle)作; 陳岳辰譯,奇幻基地,110/01
23,9789572845752,"星際大戰. I, 帝國傳承",提摩西.桑(Timothy Zahn)著; 朱學恒譯,奇幻基地,92/04
24,9789572870549,"星際大戰. 2, 黑潮洶湧",提摩西.桑(Timothy Zahn)著; 朱學恒譯,奇幻基地,92/06
25,9789867576118,"星際大戰. 3, 最終指令",提摩西.桑(Timothy Zahn)著; 朱學恒譯,奇幻基地,92/12
26,9789867576477,"星際大戰. 4, 昔日幽魂",提摩西.桑(Timothy Zahn)著; 段宗忱譯,奇幻基地,93/12
27,9789867576590,"星際大戰. 5, 未來之光",提摩西.桑(Timothy Zohn)著; 段宗忱譯,奇幻基地,94/01
28,9789867576606,"星際大戰. 5, 未來之光",提摩西.桑(Timothy Zohn)著; 段宗忱譯,奇幻基地,94/01
29,9789867386076,探索傳說中的千年寶藏,Budd Hopkins著; 劉偉祥譯,可道書房,93/12
30,9789573245728,大腦的祕密檔案,麗塔.卡特(Rita Carter)著; 洪蘭譯,遠流,91/02
31,9789570515503,科學怪人,瑪麗.雪萊(Mary Shelley)著; 菲利浦.繆漢(Philippe Munch)繪; 于而彥譯,臺灣商務,91/01
32,9789570518023,化身博士,史蒂文生(Robert Louis Stevenson)著; 佛杭蘇瓦.普列士(Francoise Place)繪; 吳鴻譯,臺灣商務,92/08
33,9789867896247,發條橘子,安東尼.伯吉斯(Anthony Burgess)著; 王之光譯,臉譜,92/03
34,9789867592095,超時光機器,Herbert Gorge Wells著; 黛恩翻譯,今天,92/11
35,9789576770647,銀河飛龍:星際情緣,彼德⋅戴維著,星光,81/07
36,9789571349138,宇宙盡頭的餐廳,道格拉斯.亞當斯(Douglas Adams)著; 丁世佳譯,時報文化,97/10
37,9789571349480,生命、宇宙及萬事萬物,道格拉斯.亞當斯(Douglas Adams)著; 莫與爭譯,時報文化,97/11
38,9789577336033,時間機器,H. G. 威爾斯作; 蔡伸章譯,新雨,90/10
39,9789575609849,使女的使事,瑪格麗特.愛特伍(Margaret Atwood)著; 陳小慰譯,天培文化,91/09
40,9789867759160,末世男女,"瑪格麗特.愛特伍(Margaret Atwood)著; 韋清琦, 袁霞譯",天培文化,93/08
41,9789575608767,盲眼刺客,瑪格麗特.愛特伍(Margaret Atwood)著; 梁永安譯,天培文化,91/02
42,9789573258605,穿越時空救簡愛: 文學探員周四.夏的冒險,賈斯柏.弗德(Jasper Fforde)作; 丁世佳譯,遠流,95/09
43,9789573327790,"諸神三部曲. I, 天神實習生",柏納.韋伯(Bernard Werber)作; 范兆延譯,皇冠,100/03
44,9789573327844,"諸神三部曲. II, 天神私房課",柏納.韋伯(Bernard Werber)作; 繆詠華譯,皇冠,100/04
45,9789573327851,"諸神三部曲. III, 失格的天神",柏納.韋伯(Bernard Werber)作; 蔡孟貞譯,皇冠,100/04
