,isbn,name,author,publisher,date
0,9789578031609,活著的死人,張草作,平裝本,87/01
1,9789578031814,四個奇怪的人,張草著,平裝本,87/06
2,9789578031944,不能殺的人: 雲空行之四,張草作,平裝本,87/08
3,9789578032095,無所不能的人: 雲空行之五,張草著,平裝本,87/09
4,9789578032644,前生謎,張草著,平裝本,88/10
5,9789578032637,人頭斬,張草著,平裝本,88/10
6,9789573322245,錯構,葉李華著,皇冠,95/05
7,9789573322634,同位,葉李華作,皇冠,95/09
8,9789573322948,蓋世,葉李華著,皇冠,96/01
9,9789573323235,移心,葉李華著,皇冠,96/03
10,9789573323501,嵌合,葉李華著,皇冠,96/09
11,9789573323938,天算,葉李華著,皇冠,97/02
12,9789573324249,瀰散,葉李華著,皇冠,97/06
13,9789573324966,乍現,葉李華著,皇冠,97/12
14,9789573325727,背反,葉李華著,皇冠,98/09
15,9789573326113,浩淼,葉李華著,皇冠,98/12
16,9789579016018,時空遊戲,葉李華,知識系統,79/06
17,9789573315452,豪賭,倪匡著,皇冠,87/05
18,9789867415868,百年一瞬: 倪匡科幻獎作品集. 二,葉李華主編,貓頭鷹,94/12
19,9789573900894,老貓,倪匡,遠景,79/03
20,9789573900702,大廈,倪匡,遠景,79/03
21,9789576456831,大廈,倪匡著,風雲時代,84/10
22,9789579016018,時空遊戲,葉李華,知識系統,79/06
23,9789867415851,上帝競賽: 倪匡科幻獎作品集. 一,葉李華主編,貓頭鷹,94/12
24,9789861205786,死亡考試: 倪匡科幻獎作品集. 四,葉李華主編,貓頭鷹,100/03
25,9789571326276,老貓,倪匡原著; 黃展鳴漫畫,時報文化,87/08
26,9789571319131,天外金球,倪匡原著; 黃展鳴漫畫,時報文化,85/01
27,9789629731908,error,error,error,error
28,9789629730628,error,error,error,error
29,9789629731540,error,error,error,error
30,9789629732158,error,error,error,error
31,9789629731069,error,error,error,error
32,9789867793348,時代之艙,鄭軍作,河圖文化,92/07
33,9789867793287,時代之艙,鄭軍著,河圖文化,92/06
34,9789867793225,時代之艙,鄭軍著,河圖文化,92/06
35,9789867793188,時代之艙,鄭軍著,河圖文化,92/04
36,9789578635890,穿梭時空三千年,蘇逸平作,耶魯國際文化,86/11
37,9789578635906,穿梭時空三千年,蘇逸平作,耶魯國際文化,86/11
38,9789575698218,四十超人學院,蘇逸平作,風雲時代,91/08
39,9789575698225,四十超人學院,蘇逸平作,風雲時代,91/11
40,9789575698232,四十超人學院,蘇逸平作,風雲時代,91/11
41,9789575698249,四十超人學院,蘇逸平作,風雲時代,91/11
42,9789864453290,天啟. I: 末世訊號,江宗凡著,釀出版,108/05
43,9789864453320,天啟. II: 始皇印記,江宗凡著,釀出版,108/07
44,9789571034034,Down to Heaven: 墜入天堂,森博嗣著; 簡秀靜譯,尖端,95/10
45,9789571032924,None but air: 衝上藍天,森博嗣著; 劉華珍譯,尖端,95/07
46,9789571032757,Sky Crawlers: 空中殺手,森博嗣著; 黃盈琪譯,尖端,95/06
47,9789866651618,笨小孩: 倪匡科幻獎作品集. 三,葉李華主編,貓頭鷹,98/04
48,9789869041829,"海穹英雌傳. 外傳, 海潮紀事",伍薰著,海穹文化,103/07
49,9789869041881,臨界戰士,伍薰作,海穹文化,105/09
50,9789869356381,臨界戰士,伍薰作,海穹文化,107/09
51,9789866899539,黑白戰爭,李伍薰著,春天出版國際,96/08
52,9789867494993,飄翎故事,李伍薰著,春天出版國際,94/12
53,9789866815959,海穹碧刃,李伍薰著,蓋亞文化,98/03
54,9789866815102,海穹雷雲,李伍薰著,蓋亞文化,96/07
55,9789867450593,海穹蒼生,李伍薰(Braveheart)作,蓋亞文化,95/06
56,9789869041812,"海穹英雌傳. 卷二, 極地試煉",伍薰著,海穹文化,103/05
57,9789866651045,海天龍戰,葉言都著,貓頭鷹,97/02
58,9789868039315,北京戰爭,楊叛作,仝人制作,91/06
59,9789868039322,北京戰爭,楊叛作,仝人制作,91/07
60,9789868039353,北京戰爭,楊叛作,仝人制作,91/08
61,9789868058149,北京戰爭,楊叛作,仝人制作,91/09
62,9789572810804,北京戰爭,楊叛作,仝人制作,91/10
63,9789578635920,綁架總統,蘇逸平作,耶魯國際文化,87/01
64,9789575696139,炫光時空學院,蘇逸平著,風雲時代,90/04
65,9789575696078,炫光時空學院,蘇逸平著,風雲時代,90/03
66,9789575695811,炫光時空學院,蘇逸平著,風雲時代,90/02
67,9789575695682,炫光時空學院,蘇逸平著,風雲時代,90/02
68,9789575695552,春秋英雄傳,蘇逸平著,風雲時代,89/12
69,9789575695385,東周時光英豪,蘇逸平著,風雲時代,89/11
70,9789575695248,東周時光英豪,蘇逸平著,風雲時代,89/10
71,9789575695057,東周時光英豪,蘇逸平著,風雲時代,89/09
72,9789575694555,東周時光英豪,蘇逸平著,風雲時代,89/09
73,9789575694418,東周時光英豪,蘇逸平著,風雲時代,89/08
74,9789575694302,東周時光英豪,蘇逸平著,風雲時代,89/05
75,9789575694111,東周時光英豪,蘇逸平著,風雲時代,89/05
76,9789575694067,東周時光英豪,蘇逸平著,風雲時代,89/05
77,9789575693909,東周時光英豪,蘇逸平著,風雲時代,89/04
78,9789575693893,東周時光英豪,蘇逸平著,風雲時代,89/04
79,9789575693671,封神時光英豪,蘇逸平著,風雲時代,89/01
80,9789575693671,封神時光英豪,蘇逸平著,風雲時代,89/01
81,9789575693626,封神時光英豪,蘇逸平著,風雲時代,89/01
82,9789575693619,封神時光英豪,蘇逸平著,風雲時代,89/01
83,9789575693602,封神時光英豪,蘇逸平著,風雲時代,89/01
84,9789575692773,惑星世紀,蘇逸平著,風雲時代,88/07
85,9789575692490,龍族秘錄,蘇逸平著,風雲時代,88/02
86,9789575692483,龍族秘錄,蘇逸平著,風雲時代,88/02
87,9789575692476,龍族秘錄,蘇逸平著,風雲時代,88/02
88,9789575692469,龍族秘錄,蘇逸平著,風雲時代,88/02
89,9789575692506,星座時空,蘇逸平作,風雲時代,88/02
90,9789629881085,error,error,error,error
91,9789629881054,error,error,error,error
92,9789629881030,error,error,error,error
93,9789629880927,error,error,error,error
94,9789629880798,error,error,error,error
95,9789629880767,error,error,error,error
96,9789629880682,error,error,error,error
97,9789629880613,error,error,error,error
98,9789629880354,error,error,error,error
99,9789629880309,error,error,error,error
