,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
title,冠軍的早餐,再訪美麗新世界,六指琴魔：卷二鉅變,光之逝,偷腦的賊,偷嚐愛情的四月女巫,侏儸紀公園2 失落的世界,侏儸紀公園,來自繁星的巫女,使女的故事,人生複本,人形之國03,人形之國(漫畫)2,人形之國(漫畫)1,亞特蘭提斯．瘟疫,亞特蘭提斯．新世界,二四俱樂部,中外文學 第二十二卷第12期 1994年5月,中國科幻文學館 下 ,中國科幻小說經典,世界科幻經典 卷二,世界科幻經典 卷三,不可逆的傷害,三體,三體,七重外殼,一級玩家,一無所有,一九八四,Year's best SF8,Year's Best SF6,Year's Best SF17,Year's Best SF13,Year's Best SF12,Year's best SF11,Year's Best SF10,X檔案：幽浮奇案,Xenocide,WWW.甦醒,What if? 如果這樣，會怎樣？,Vision of Space,U.C.0079機動戰士GUNDAM,TNG: THE GENESIS WAVE: BOOK ONE,TNG: THE EYES OF THE BEHOLDERS,TNG: THE DEVIL'S HEART,TNG: KAHLESS,TNG: IMZADI,TNG: FORTUNE'S LIGHT,TNG: DESCENT (兩本),TNG: DARK MIRROR
creator,馮內格 著,赫胥黎 著,error,馬丁 著,error,布萊伯雷,error,卡普蘭 作#,英達爾,愛特伍,克勞奇 著,error,error,error,error,error,王慧潔 著,error,error,error,error,error,error,劉慈欣,劉慈欣,error,克萊恩,崔健,歐威爾 文字作者,error,error,error,error,error,error,error,error,"Card, Orson Scott, author",  ,error,error,error,error,error,error,error,error,error,error,error
publisher,麥田,志文,error,聯合發行總經銷,error,遊目族出版 城邦發行,error,城邦文化事業股份有限公司小光點,奇幻基地出版 城邦文化發行,天培文化出版 九歌發行,寂寞,error,error,error,error,error,皇冠,error,error,error,error,error,error,貓頭鷹,貓頭鷹,error,麥田出版,可登有聲出版社有限公司,野人文化股份有限公司,error,error,error,error,error,error,error,error,New York,貓頭鷹出版 家庭傳媒城邦分公司發行,error,error,error,error,error,error,error,error,error,error,error
year," 1994.
©1994.", 1987,error, 2010,error, 2000,error, 2022.06, 民92, 2020, 2017,error,error,error,error,error, 民89,error,error,error,error,error,error, 2023, 2023,error, 2021.12, 1989, ,error,error,error,error,error,error,error,error," 2021
©1991", 2012.12,error,error,error,error,error,error,error,error,error,error,error
